Monster,Number,AC,MV,HD,Lair%,Treas,Atk,Dam,Align,Type,EHD,HDD,Env,Source,Special
Android,1d8,9,12,2,15,A,1,1d6,N,M,4,2,D,DD,Spells (2)
Giant Ant,2d6,3,18,2,10,C,1,1d6,N,A,1,2,D,DD,-
Ape,1d8,6,12,4+1,-,-,1,1d6+1,N,A,3,4.3,W,DD,-
Basilisk,1d6,4,6,6+1,40,F,1,1d6,C,B,18,6.3,D,DD,"PetrifyingGaze, Petrification"
Bat,10d8,8,3,1/2,15,-,0,0,N,A,0,0.5,D,DD,Flight (12)
Giant Bat,1d8,7,3,4,15,C,1,1d6,N,A,2,4,D,DD,Flight (15)
Bear,1d6,6,12,5+5,-,-,1,1d6+2,N,A,4,6.5,W,DD,-
Two Hit Dice Giant Beetle,1d12,3,9,2,-,-,1,1d6,N,A,2,2,D,DD,-
Three Hit Dice Giant Beetle,1d12,3,9,3,-,-,1,1d6,N,A,2,3,D,DD,-
Four Hit Dice Giant Beetle,1d12,3,9,4,-,-,1,1d6,N,A,3,4,D,DD,-
Five Hit Dice Giant Beetle,1d12,3,9,5,-,-,1,1d6,N,A,3,5,D,DD,-
Six Hit Dice Giant Beetle,1d12,3,9,6,-,-,1,1d6,N,A,4,6,D,DD,-
Seven Hit Dice Giant Beetle,1d12,3,9,7,-,-,1,1d6,N,A,4,7,D,DD,-
Black Pudding,1,7,3,10,-,-,1,3d6,N,S,12,10,D,DD,"WoodEating, MetalEating, VoltImmunity, ColdImmunity, ChopImmunity"
Boar,1d12,7,15,1+2,-,-,1,1d6,N,A,1,1.6,W,DD,-
Giant Boar,1d8,6,12,7,-,-,1,2d6,N,A,5,7,W,DD,Fearlessness
Cave Bear,1d2,6,12,6+6,-,-,1,2d6-1,N,A,5,7.8,W,DD,-
Caveman,2d6,9,12,2,15,C,1,1d6,N,M,1,2,W,DD,-
Centaur,2d4,6,18,4,5,A,2,1d6,L,F,3,4,W,DD,-
Giant Centipede,1d6,3,12,3+1,60,B,1,1d6,N,A,5,3.3,D,DD,Paralysis
Large Centipede,2d12,9,6,1/2,-,-,1,1d6,N,A,2,0.5,D,DD,Paralysis
Chimera,1d4,4,12,9,50,F,3,1d6,C,B,11,9,D,DD,"Flight (18), FireBreath (3)"
Cockatrice,1d8,6,9,5,35,D,1,1d6,C,B,6,5,D,DD,"Flight (18), Petrification"
Giant Crab,3d4,3,6,3,-,-,1,1d6,N,A,2,3,U,DD,-
Crocodile,2d6,6,9,3,20,-,1,1d6,N,A,2,3,U,DD,Swimming (15)
Giant Crocodile,1d6,5,9,7,20,-,1,2d6,N,A,7,7,U,DD,"Swimming (15), Swallowing"
Cyborg,2d4,5,9,3+3,15,G,1,1d6+2,C,M,3,3.9,D,DD,Fearlessness
Cyclops,1d4,2,15,16,30,E,1,3d6+3,N,H,20,16,W,DD,"RockHurling, HitBonus (-2)"
Brontosaurus,1d6,5,6,32,-,-,1,3d6,N,A,23,32,W,DD,-
Deinonychus,1d6,5,21,4,-,-,1,1d6,N,A,3,4,W,DD,-
Mosasaurus,1d4,5,3,14,-,-,1,3d6,N,A,16,14,U,DD,"Swimming (15), Swallowing"
Two Hit Dice Pterodactyl,1d8,5,3,2,-,-,1,1d6,N,A,1,2,W,DD,Flight (12)
Three Hit Dice Pterodactyl,1d8,5,3,3,-,-,1,1d6,N,A,2,3,W,DD,Flight (12)
Four Hit Dice Pterodactyl,1d8,5,3,4,-,-,1,1d6,N,A,2,4,W,DD,Flight (12)
Five Hit Dice Pterodactyl,1d8,5,3,5,-,-,1,1d6,N,A,3,5,W,DD,Flight (12)
Six Hit Dice Pterodactyl,1d8,5,3,6,-,-,1,1d6,N,A,4,6,W,DD,Flight (12)
Seven Hit Dice Pterodactyl,1d8,5,3,7,-,-,1,1d6,N,A,4,7,W,DD,Flight (12)
Stegosaurus,2d4,5,6,8,-,-,1,1d6+2,N,A,6,8,W,DD,-
Triceratops,2d4,2,9,16,-,-,1,2d6,N,A,14,16,W,DD,-
Tyrannosaurus Rex,1d2,5,15,20,-,-,1,4d6,N,A,23,20,W,DD,Swallowing
Djinni,1,6,9,7+1,-,-,1,2d6-1,N,X,6,7.3,X,DD,"Flight (24), Invisibility, Illusion, Whirlwind (2)"
Dog,4d4,7,15,1,-,-,1,1d6,N,A,1,1,W,DD,-
Doppelganger,1d6,5,9,4,25,E,1,1d6,C,B,3,4,D,DD,"Polymorphism, SaveBonus (6)"
Dragon Turtle,1d4,2,3,12,60,H,1,1d6,N,B,19,12,U,DD,"Swimming (9), SteamBreath"
Very Young Black Dragon,1d4,5,6,2,60,-,1,1d6,C,B,1,2,D,DD,"Flight (12), Detection (6), AcidBreath, AcidImmunity"
Young Black Dragon,1d4,4,9,4,60,H,1,1d6,C,B,3,4,D,DD,"Flight (18), Detection (6), AcidBreath, AcidImmunity"
Sub-Adult Black Dragon,1d4,4,9,6,60,H,1,1d6,C,B,7,6,D,DD,"Flight (24), Detection (6), Fearlessness, AcidBreath, AcidImmunity"
Adult Black Dragon,1d4,3,9,8,60,H,1,1d6+2,C,B,14,8,D,DD,"Flight (24), Detection (6), Fearlessness, AcidBreath, AcidImmunity"
Old Black Dragon,1d4,3,9,10,60,H,1,1d6+2,C,B,28,10,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), AcidBreath, AcidImmunity"
Very Old Black Dragon,1d4,2,9,12,60,H,1,2d6,C,B,43,12,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), AcidBreath, AcidImmunity"
Very Young Blue Dragon,1d4,5,6,2+2,60,-,1,1d6,C,B,1,2.6,D,DD,"Flight (12), Detection (6), VoltBreath, VoltImmunity"
Young Blue Dragon,1d4,4,9,5+2,60,H,1,1d6,C,B,4,5.6,D,DD,"Flight (18), Detection (6), VoltBreath, VoltImmunity"
Sub-Adult Blue Dragon,1d4,4,9,8,60,H,1,1d6+2,C,B,11,8,D,DD,"Flight (24), Detection (6), Fearlessness, VoltBreath, VoltImmunity"
Adult Blue Dragon,1d4,3,9,10,60,H,1,1d6+2,C,B,20,10,D,DD,"Flight (24), Detection (6), Fearlessness, VoltBreath, VoltImmunity"
Old Blue Dragon,1d4,3,9,12,60,H,1,2d6,C,B,38,12,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), VoltBreath, VoltImmunity"
Very Old Blue Dragon,1d4,2,9,14,60,H,1,2d6,C,B,57,14,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), VoltBreath, VoltImmunity"
Very Young Gold Dragon,1d4,5,6,2-1,60,-,1,1d6,L,B,4,1.7,D,DD,"Flight (12), Detection (6), FireBreath, SaveBonus (4), Spells"
Young Gold Dragon,1d4,4,9,4,60,H,1,1d6,L,B,6,4,D,DD,"Flight (18), Detection (6), FireBreath, SaveBonus (4), Spells"
Sub-Adult Gold Dragon,1d4,4,9,7,60,H,1,1d6,L,B,18,7,D,DD,"Flight (24), Detection (6), Fearlessness, FireBreath, SaveBonus (4), Spells"
Adult Gold Dragon,1d4,3,9,10,60,H,1,1d6+2,L,B,38,10,D,DD,"Flight (24), Detection (6), Fearlessness, FireBreath, SaveBonus (4), Spells"
Old Gold Dragon,1d4,3,9,13,60,H,1,2d6,L,B,77,13,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), FireBreath, SaveBonus (4), Spells"
Very Old Gold Dragon,1d4,2,9,16,60,H,1,3d6,L,B,111,16,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), FireBreath, SaveBonus (4), Spells"
Very Young Green Dragon,1d4,5,6,2+1,60,-,1,1d6,C,B,1,2.3,D,DD,"Flight (12), Detection (6), PoisonBreath"
Young Green Dragon,1d4,4,9,5,60,H,1,1d6,C,B,4,5,D,DD,"Flight (18), Detection (6), PoisonBreath"
Sub-Adult Green Dragon,1d4,4,9,7,60,H,1,1d6,C,B,9,7,D,DD,"Flight (24), Detection (6), Fearlessness, PoisonBreath"
