Monster	EHD	EHD_exact
Android	4	3.98
Giant Ant	1	1.48
Ape	3	2.75
Basilisk	18	17.96
Bat	0	0.02
Giant Bat	2	2.39
Bear	4	3.98
Two Hit Dice Giant Beetle	2	1.62
Three Hit Dice Giant Beetle	2	2.19
Four Hit Dice Giant Beetle	3	2.72
Five Hit Dice Giant Beetle	3	3.32
Six Hit Dice Giant Beetle	4	3.98
Seven Hit Dice Giant Beetle	4	4.34
Black Pudding	12	11.97
Boar	1	1.12
Giant Boar	5	5.36
Cave Bear	5	5.08
Caveman	1	1.27
Centaur	3	3.09
Giant Centipede	5	4.67
Large Centipede	2	1.52
Chimera	11	11.11
Cockatrice	6	6.04
Giant Crab	2	2.07
Crocodile	2	1.8
Giant Crocodile	7	7.01
Cyborg	3	2.72
Cyclops	20	20.25
Brontosaurus	23	22.65
Deinonychus	3	2.64
Mosasaurus	16	16.35
Two Hit Dice Pterodactyl	1	1.38
Three Hit Dice Pterodactyl	2	1.82
Four Hit Dice Pterodactyl	2	2.4
Five Hit Dice Pterodactyl	3	2.92
Six Hit Dice Pterodactyl	4	3.54
Seven Hit Dice Pterodactyl	4	3.77
Stegosaurus	6	5.68
Triceratops	14	13.8
Tyrannosaurus Rex	23	23.4
Djinni	6	6.07
Dog	1	0.9
Doppelganger	3	2.64
Dragon Turtle	19	19.03
Very Young Black Dragon	1	1.12
Young Black Dragon	3	3.08
Sub-Adult Black Dragon	7	7.17
Adult Black Dragon	14	13.75
Old Black Dragon	28	27.72
Very Old Black Dragon	43	42.57
Very Young Blue Dragon	1	1.14
Young Blue Dragon	4	3.85
Sub-Adult Blue Dragon	11	10.88
Adult Blue Dragon	20	19.74
Old Blue Dragon	38	37.94
Very Old Blue Dragon	57	57.29
Very Young Gold Dragon	4	3.55
Young Gold Dragon	6	6.47
Sub-Adult Gold Dragon	18	17.5
Adult Gold Dragon	38	37.88
Old Gold Dragon	77	76.79
Very Old Gold Dragon	111	111.24
Very Young Green Dragon	1	1.17
Young Green Dragon	4	3.96
Sub-Adult Green Dragon	9	8.53
Adult Green Dragon	16	16.05
Old Green Dragon	31	31.18
Very Old Green Dragon	52	51.59
Very Young Red Dragon	1	1.12
Young Red Dragon	5	4.63
Sub-Adult Red Dragon	12	11.73
