Monster	EHD
Very Young White Dragon	2
Very Young Black Dragon	2
Very Young Green Dragon	3
Very Young Blue Dragon	3
Very Young Red Dragon	3
Young White Dragon	4
Young Black Dragon	5
Very Young Gold Dragon	2
Young Green Dragon	6
Young Blue Dragon	8
Young Red Dragon	8
Young Gold Dragon	5
Sub-Adult White Dragon	7
Sub-Adult Black Dragon	8
Sub-Adult Green Dragon	10
Sub-Adult Blue Dragon	11
Adult White Dragon	10
Sub-Adult Red Dragon	13
Adult Black Dragon	12
Adult Green Dragon	14
Sub-Adult Gold Dragon	11
Adult Blue Dragon	16
Old White Dragon	15
Adult Red Dragon	19
Old Black Dragon	17
Old Green Dragon	22
Adult Gold Dragon	17
Old Blue Dragon	25
Very Old White Dragon	21
Old Red Dragon	29
Very Old Black Dragon	26
Very Old Green Dragon	28
Very Old Blue Dragon	33
Very Old Red Dragon	40
Old Gold Dragon	31
Very Old Gold Dragon	48
